Title,Genre,Duration,Rating,Voting
Uma Musume: Pretty Derby - Beginning of a New Era,Comedy,1h 48m,7.4,178
Ultraman: Rising,Comedy,1h 57m,6.9,6.8K
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,Comedy,1h 42m,6.2,1.6K
My Favourite Cake,Comedy,1h 37m,7.4,8K
Our Little Secret,Comedy,1h 41m,5.7,24K
Bloody Axe Wound,Comedy,1h 23m,5.0,1.1K
Doraemon the Movie: Nobita's Earth Symphony,Comedy,1h 55m,6.6,1.6K
The American Society of Magical Negroes,Comedy,1h 44m,3.8,12K
Hitpig,Comedy,1h 26m,5.2,1.1K
The Merry Gentlemen,Comedy,1h 27m,4.8,10K
Super Happy Forever,Comedy,1h 34m,6.8,364
Irish Wish,Comedy,1h 33m,5.2,22K
Stree 2: Sarkate Ka Aatank,Comedy,2h 27m,6.9,43K
Diamanti,Comedy,2h 15m,6.8,1.7K
Haikyu!! The Dumpster Battle,Comedy,1h 25m,7.7,6.7K
Aavesham,Comedy,2h 35m,7.8,30K
Dear Santa,Comedy,1h 47m,5.4,19K
Beautiful Wedding,Comedy,1h 40m,4.1,4.4K
Jamais sans mon psy,Comedy,1h 31m,5.1,615
Sweethearts,Comedy,1h 38m,5.6,4.3K
Treasure,Comedy,1h 51m,6.3,2.2K
Manamey,Comedy,2h 35m,5.3,787
Teri Baaton Mein Aisa Uljha Jiya,Comedy,2h 21m,6.2,55K
Officer Black Belt,Comedy,1h 48m,6.9,8.9K
The Astronaut Lovers,Comedy,1h 56m,7.1,1K
Three Friends,Comedy,1h 57m,6.6,892
Sunlight,Comedy,1h 36m,7.6,42
Winner,Comedy,1h 43m,6.5,2.8K
"I, the Executioner",Comedy,1h 58m,6.3,2.1K
Turn Me On,Comedy,1h 39m,5.6,804
Megamind vs. The Doom Syndicate,Comedy,1h 23m,2.5,5.8K
Sweet Dreams,Comedy,1h 35m,5.4,1.5K
Hotspring Sharkattack,Comedy,1h 10m,6.1,66
Kalvan,Comedy,2h 22m,5.6,1K
The Second Act,Comedy,1h 20m,6.4,3.9K
A House on Fire,Comedy,1h 45m,7.2,3.6K
Between the Temples,Comedy,1h 51m,6.2,3.2K
Hot Frosty,Comedy,1h 32m,5.3,15K
I Am What I Am 2,Comedy,2h 14m,7.5,418
Sthanarthi Sreekuttan,Comedy,2h 15m,7.0,1.7K
